Mol_ID,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error
24_NWChem_1JCH_mulliken,[225.7716:225.7857:],225.77865,212,-13.77865
57_NWChem_1JCH_mulliken,[217.5258:],217.5258,209,-8.5258
26_NWChem_1JCH_mulliken,[184.9592:184.9942:185.0021:184.9942:184.9592:185.0021:],184.9851667,180,-4.9851667
29_NWChem_1JCH_mulliken,[213.6112:],213.6112,209.1,-4.5112
25_NWChem_1JCH_mulliken,[213.1356:],213.1356,208.8,-4.3356
17_NWChem_1JCH_mulliken,[208.7707:208.7707:],208.7707,205,-3.7707
23_NWChem_1JCH_mulliken,[215.5743:215.5743:],215.5743,212,-3.5743
29_NWChem_1JCH_mulliken,[218.4595:],218.4595,215,-3.4595
75_NWChem_1JCH_mulliken,[138.5122:137.658:138.5399:137.6462:],138.089075,135,-3.089075
52_NWChem_1JCH_mulliken,[180.7419:180.7419:],180.7419,178,-2.7419
44_NWChem_1JCH_mulliken,[121.0681:121.0564:121.0683:121.0646:121.0657:121.0773:121.0709:121.0583:121.0503:121.0508:121.0482:121.076:],121.0629083,118.4,-2.6629083
218_NWChem_1JCH_mulliken,[128.3915:129.4356:128.3915:129.4356:],128.91355,126.3,-2.61355
71_NWChem_1JCH_mulliken,[135.504:137.5094:],136.5067,134,-2.5067
25_NWChem_1JCH_mulliken,[217.4693:],217.4693,215,-2.4693
14_NWChem_1JCH_mulliken,[125.8642:124.9139:127.6132:123.3063:],125.4244,123,-2.4244
22_NWChem_1JCH_mulliken,[128.2653:125.9519:],127.1086,125,-2.1086
15_NWChem_1JCH_mulliken,[178.0699:178.1418:],178.10585,176,-2.10585
35_NWChem_1JCH_mulliken,"[129.8,129.8,142.2,151.8,181.3]",146.98,145,-1.98
87_NWChem_1JCH_mulliken,[169.5486:169.5486:],169.5486,167.6,-1.9486
138_NWChem_1JCH_mulliken,[126.0853:131.7335:131.7335:126.0853:],128.9094,127,-1.9094
45_NWChem_1JCH_mulliken,[128.4604:128.4543:129.657:128.4546:128.4601:129.6573:128.4602:129.6573:128.4544:],128.8572889,127,-1.8572889
1_NWChem_1JCH_mulliken,[126.8375:126.8317:126.8365:126.8375:],126.8358,125,-1.8358
223_NWChem_1JCH_mulliken,[134.8968:143.7304:143.7304:],140.7858667,139,-1.7858667
17_NWChem_1JCH_mulliken,[170.7744:170.7744:],170.7744,169,-1.7744
56_NWChem_1JCH_mulliken,[240.861:],240.861,239.1,-1.761
23_NWChem_1JCH_mulliken,[164.5663:164.5663:],164.5663,163,-1.5663
221_NWChem_1JCH_mulliken,[134.8367:141.3156:142.3492:134.8367:141.3156:142.3492:],139.5005,138,-1.5005
37_NWChem_1JCH_mulliken,[141.3189:142.3668:134.8025:141.3167:142.3739:134.7971:],139.4959833,138,-1.4959833
102_NWChem_1JCH_mulliken,[206.534:206.3418:],206.4379,205.2,-1.2379
27_NWChem_1JCH_mulliken,[154.9931:155.0171:155.0222:155.031:155.031:155.0222:155.0171:154.9931:],155.01585,153.8,-1.21585
29_NWChem_1JCH_mulliken,[166.2045:166.2005:],166.2025,165,-1.2025
6_NWChem_1JCH_mulliken,[161.4416:161.4416:161.4416:161.4416:161.4416:161.4416:],161.4416,160.3,-1.1416
25_NWChem_1JCH_mulliken,[166.0089:166.0088:],166.00885,165,-1.00885
20_NWChem_1JCH_mulliken,[166.8517:166.8517:],166.8517,166,-0.8517
5_NWChem_1JCH_mulliken,[124.1206:124.1474:124.1349:124.1309:124.1317:124.1362:124.1323:124.1341:124.1295:124.1389:124.1315:124.1497:],124.1348083,123.3,-0.8348083
29_NWChem_1JCH_mulliken,[150.3327:],150.3327,149.5,-0.8327
71_NWChem_1JCH_mulliken,[148.2747:133.3629:148.2724:133.3664:],140.8191,140,-0.8191
68_NWChem_1JCH_mulliken,[162.9646:174.652:174.6521:162.9668:],168.808875,168,-0.808875
99_NWChem_1JCH_mulliken,[145.8098:145.8051:],145.80745,145,-0.80745
22_NWChem_1JCH_mulliken,[125.4723:126.0176:125.4723:126.0176:],125.74495,125,-0.74495
55_NWChem_1JCH_mulliken,[196.5426:],196.5426,195.8,-0.7426
101_NWChem_1JCH_mulliken,[144.8073:144.8073:],144.8073,144.1,-0.7073
48_NWChem_1JCH_mulliken,[134.8745:140.6195:140.6195:134.8745:140.6195:140.6195:],138.7045,138,-0.7045
16_NWChem_1JCH_mulliken,[166.6514:166.704:],166.6777,166,-0.6777
218_NWChem_1JCH_mulliken,[142.3996:143.0285:143.0285:142.3996:],142.71405,142.1,-0.61405
99_NWChem_1JCH_mulliken,[136.5959:],136.5959,136,-0.5959
14_NWChem_1JCH_mulliken,[159.9772:157.1217:],158.54945,158,-0.54945
189_NWChem_1JCH_mulliken,[141.444:140.1004:140.1004:141.444:140.1004:140.1004:],140.5482667,140,-0.5482667
72_NWChem_1JCH_mulliken,[145.729:148.291:145.7505:148.2681:],147.00965,146.5,-0.50965
60_NWChem_1JCH_mulliken,[125.8523:126.1264:126.1264:],126.0350333,125.6,-0.4350333
74_NWChem_1JCH_mulliken,[125.4135:126.6231:126.6231:125.4135:],126.0183,125.6,-0.4183
42_NWChem_1JCH_mulliken,[150.4084:150.4084:150.4084:],150.4084,150,-0.4084
76_NWChem_1JCH_mulliken,[144.6654:134.823:134.823:144.6654:],139.7442,139.4,-0.3442
88_NWChem_1JCH_mulliken,[137.5407:137.5407:137.5407:137.5407:],137.5407,137.2,-0.3407
100_NWChem_1JCH_mulliken,[135.1741:135.1741:],135.1741,135,-0.1741
21_NWChem_1JCH_mulliken,[144.1757:144.1701:144.1756:144.1699:144.1702:144.1757:],144.1728667,144,-0.1728667
2_NWChem_1JCH_mulliken,[125.0636:125.0636:125.0636:125.0636:125.0636:125.0636:],125.0636,124.9,-0.1636
30_NWChem_1JCH_mulliken,[123.5402:123.5447:134.2279:],127.1042667,127,-0.1042667
118_NWChem_1JCH_mulliken,[134.2304:123.5315:123.5426:],127.1015,127,-0.1015
4_NWChem_1JCH_mulliken,[123.4907:124.3982:124.4016:124.3979:124.4023:123.4901:124.4023:124.3972:123.4913:],124.0968444,124,-0.0968444
136_NWChem_1JCH_mulliken,[170.0462:170.0863:],170.06625,170,-0.06625
4_NWChem_1JCH_mulliken,[124.5441:],124.5441,124.5,-0.0441
94_NWChem_1JCH_mulliken,[125.5842:125.5842:],125.5842,125.6,0.0158
28_NWChem_1JCH_mulliken,[131.1615:131.1582:131.2374:131.1585:],131.1789,131.2,0.0211
3_NWChem_1JCH_mulliken,[124.5219:124.2584:124.2584:124.2584:124.2584:124.5219:],124.3462333,124.4,0.0537667
96_NWChem_1JCH_mulliken,[129.07:132.9408:],131.0054,131.1,0.0946
101_NWChem_1JCH_mulliken,[132.596:132.596:],132.596,132.7,0.104
18_NWChem_1JCH_mulliken,[131.8759:131.8759:],131.8759,132,0.1241
46_NWChem_1JCH_mulliken,[122.4941:123.291:134.8042:134.8069:123.2883:122.4927:],126.8628667,127,0.1371333
100_NWChem_1JCH_mulliken,[147.8526:147.8526:],147.8526,148,0.1474
20_NWChem_1JCH_mulliken,[184.8511:184.8511:184.8511:184.8511:],184.8511,185,0.1489
99_NWChem_1JCH_mulliken,[130.3127:135.3468:130.2631:135.3911:],132.828425,133,0.171575
18_NWChem_1JCH_mulliken,[140.8177:140.8177:],140.8177,141,0.1823
28_NWChem_1JCH_mulliken,[125.6764:125.6865:125.6531:125.6991:125.66:125.6737:125.6954:125.6708:125.6771:125.6772:125.6574:125.6916:],125.676525,125.9,0.223475
69_NWChem_1JCH_mulliken,[170.3365:170.3365:170.3365:170.3365:],170.3365,170.6,0.2635
99_NWChem_1JCH_mulliken,[129.6176:],129.6176,130,0.3824
10_NWChem_1JCH_mulliken,[123.6639:122.6413:123.1439:123.0241:122.9386:123.5651:123.0241:123.1439:123.6639:122.6413:122.9386:123.5651:123.4722:123.4722:],123.2070143,123.6,0.3929857
7_NWChem_1JCH_mulliken,[133.2233:133.113:133.113:133.2233:133.113:133.2233:133.2233:133.113:],133.16815,133.6,0.43185
8_NWChem_1JCH_mulliken,[126.2034:130.1403:124.9537:130.5677:128.535:128.4248:130.526:124.9716:126.2767:130.0776:],128.06768,128.5,0.43232
62_NWChem_1JCH_mulliken,[124.9369:125.8297:125.8297:],125.5321,126,0.4679
222_NWChem_1JCH_mulliken,[126.68:126.6847:135.2057:],129.5234667,130,0.4765333
31_NWChem_1JCH_mulliken,[126.9933:126.3491:135.1955:],129.5126333,130,0.4873667
102_NWChem_1JCH_mulliken,[168.3061:168.3061:],168.3061,168.8,0.4939
9_NWChem_1JCH_mulliken,[126.6304:122.5326:122.5321:126.6313:122.5324:126.631:122.5326:126.6304:126.6313:122.5321:126.631:122.5324:],124.5816333,125.1,0.5183667
210_NWChem_1JCH_mulliken,[146.0012:144.1155:146.0063:],145.3743333,146,0.6256667
139_NWChem_1JCH_mulliken,[123.5912:127.1412:123.5999:127.1182:],125.362625,126,0.637375
14_NWChem_1JCH_mulliken,[123.853:126.9033:127.9453:122.6669:],125.342125,126,0.657875
137_NWChem_1JCH_mulliken,[137.3463:137.3276:137.3463:137.3276:],137.33695,138,0.66305
22_NWChem_1JCH_mulliken,[203.8092:204.8093:],204.30925,205,0.69075
66_NWChem_1JCH_mulliken,[130.6245:130.6245:130.6245:],130.6245,131.4,0.7755
21_NWChem_1JCH_mulliken,[163.2186:163.2186:],163.2186,164,0.7814
216_NWChem_1JCH_mulliken,[147.0617:139.3011:142.0622:146.7724:],143.79935,144.6,0.80065
14_NWChem_1JCH_mulliken,[158.4431:159.9041:],159.1736,160,0.8264
65_NWChem_1JCH_mulliken,[127.6228:127.6181:129.2557:],128.1655333,129,0.8344667
25_NWChem_1JCH_mulliken,[160.3536:],160.3536,161.2,0.8464
12_NWChem_1JCH_mulliken,[123.7765:121.835:122.8337:123.0339:122.2067:123.3359:124.3416:122.9596:123.611:123.611:124.3416:122.9596:123.3359:122.2067:123.7765:121.835:122.8337:123.0339:],123.1037667,124,0.8962333
13_NWChem_1JCH_mulliken,[123.4692:123.3393:123.4692:123.3393:124.1651:122.5426:123.381:123.381:122.5426:124.1651:123.4692:123.3393:123.4692:123.3393:122.5426:124.1651:123.381:123.381:124.1651:122.5426:],123.37944,124.3,0.92056
210_NWChem_1JCH_mulliken,[126.3918:134.2242:126.4485:],129.0215,130,0.9785
3_NWChem_1JCH_mulliken,[124.4147:124.4147:],124.4147,125.4,0.9853
70_NWChem_1JCH_mulliken,[174.7062:174.7062:174.7062:174.7062:],174.7062,175.7,0.9938
16_NWChem_1JCH_mulliken,[127.0986:130.903:],129.0008,130,0.9992
43_NWChem_1JCH_mulliken,[148.0927:148.0927:148.0927:],148.0927,149.1,1.0073
53_NWChem_1JCH_mulliken,[158.9797:158.9797:],158.9797,160,1.0203
15_NWChem_1JCH_mulliken,[164.0498:153.4531:],158.75145,160,1.24855
33_NWChem_1JCH_mulliken,[128.9058:133.1742:133.1742:],131.7514,133,1.2486
73_NWChem_1JCH_mulliken,[147.5333:148.9577:147.5333:148.9577:],148.2455,149.5,1.2545
19_NWChem_1JCH_mulliken,[132.9555:132.9534:],132.95445,134.3,1.34555
11_NWChem_1JCH_mulliken,[123.8484:122.6479:123.3249:124.6251:123.3249:124.6251:122.6737:122.4474:122.9275:122.736:122.6479:123.8484:122.736:122.9275:122.4474:122.6737:],123.1538625,124.5,1.3461375
17_NWChem_1JCH_mulliken,[151.6498:151.6498:],151.6498,153,1.3502
23_NWChem_1JCH_mulliken,[130.6347:130.6311:130.6311:130.6347:],130.6329,132,1.3671
64_NWChem_1JCH_mulliken,[124.1012:124.9894:124.9894:],124.6933333,126.1,1.4066667
49_NWChem_1JCH_mulliken,[142.252:136.7376:136.7376:142.252:136.7376:136.7376:],138.5757333,140,1.4242667
207_NWChem_1JCH_mulliken,[123.274:136.1546:123.2619:],127.5635,129,1.4365
101_NWChem_1JCH_mulliken,[153.5552:153.5552:],153.5552,155,1.4448
75_NWChem_1JCH_mulliken,[124.8778:127.5485:124.897:127.5128:],126.209025,127.7,1.490975
29_NWChem_1JCH_mulliken,[168.4779:168.486:],168.48195,170,1.51805
51_NWChem_1JCH_mulliken,[167.7541:167.7145:],167.7343,169.4,1.6657
73_NWChem_1JCH_mulliken,[136.0679:135.3549:],135.7114,137.4,1.6886
39_NWChem_1JCH_mulliken,[137.7195:142.4298:137.7195:],139.2896,141,1.7104
16_NWChem_1JCH_mulliken,[125.6811:130.6917:130.7149:125.6414:],128.182275,130,1.817725
32_NWChem_1JCH_mulliken,[134.2763:134.2763:134.2763:],134.2763,136.1,1.8237
36_NWChem_1JCH_mulliken,[141.3248:146.554:146.5535:],144.8107667,146.7,1.8892333
203_NWChem_1JCH_mulliken,[143.6719:134.346:143.4021:],140.4733333,142.5,2.0266667
47_NWChem_1JCH_mulliken,[133.4263:133.6863:125.6528:133.5618:133.5369:125.6923:133.5673:133.5689:125.6601:],130.9280778,133,2.0719222
72_NWChem_1JCH_mulliken,[132.5721:132.4521:],132.5121,134.6,2.0879
16_NWChem_1JCH_mulliken,[157.965:159.8077:],158.88635,161,2.11365
18_NWChem_1JCH_mulliken,[128.5902:131.136:128.5902:131.136:128.5902:131.136:128.5902:131.136:],129.8631,132,2.1369
76_NWChem_1JCH_mulliken,[125.0215:126.666:125.0215:126.666:],125.84375,128,2.15625
217_NWChem_1JCH_mulliken,[133.0835:140.6735:143.8812:129.4877:],136.781475,139.1,2.318525
20_NWChem_1JCH_mulliken,[130.6553:130.6553:],130.6553,133,2.3447
217_NWChem_1JCH_mulliken,[126.2062:131.1536:127.1742:131.6079:],129.035475,131.4,2.364525
216_NWChem_1JCH_mulliken,[131.3247:130.2129:129.2743:132.3085:],130.7801,133.2,2.4199
25_NWChem_1JCH_mulliken,[168.5716:168.5741:],168.57285,171,2.42715
22_NWChem_1JCH_mulliken,[153.3308:153.3308:],153.3308,156,2.6692
74_NWChem_1JCH_mulliken,[134.8132:125.6119:125.6119:134.8132:],130.21255,133.7,3.48745
15_NWChem_1JCH_mulliken,[135.3687:135.1703:135.4853:135.0929:],135.2793,140,4.7207
54_NWChem_1JCH_mulliken,[176.2071:],176.2071,186,9.7929
50_NWChem_1JCH_mulliken,[151.478:151.478:],151.478,161.8,10.322
204_NWChem_1JCH_mulliken,[151.562:151.562:],151.562,162.5,10.938
205_NWChem_1JCH_mulliken,[154.1471:],154.1471,183.5,29.3529
