Error ,Error
7.2869,4.835035824
6.4561,6.165927515
5.6497,4.510000768
5.3791,3.348018494
4.7146,1.975244086
4.5837,3.06230055
4.5046,4.368802756
4.4291,1.747240644
4.413,1.409826349
4.0925,4.288223752
3.9886,3.562792888
3.9695,2.757351973
3.8024,3.483320455
3.7227,3.353512797
3.6223,1.531141188
3.6045,2.346059529
3.5079,2.061454057
3.5004,0.408335909
3.4891,3.622358024
3.4329,1.350212482
3.3217,2.880994324
3.3156,1.542302559
3.2833,3.291581841
3.0785,3.140668931
3.0125,1.981809412
2.9203,3.070053342
2.8905,3.050531606
2.8505,2.386142686
2.8503,3.329691332
2.8396,2.688819211
2.8318,2.542714381
2.8032,1.880270174
2.7275,2.984276107
2.6626,2.21559229
2.558,2.665812834
2.4646,0.689110936
2.3371,2.360866328
2.2576,2.445939325
2.2574,2.05215067
2.217,2.259556141
2.210575,3.237412512
2.1942,1.602652517
2.0859,1.029562951
1.9771,0.921156548
1.9063,2.42791362
1.8911,1.66645257
1.8388,2.045870992
1.7795,1.944496304
1.6737,0.70288992
1.6227,1.329548697
1.5568,0.452564806
1.55,1.45689915
1.5421,1.887677093
1.54,1.76043542
1.504,1.726045592
1.4972,1.576423336
1.4845,2.199414768
1.4829,0.082299232
1.4603,1.675354762
1.4062,-0.961546107
1.39315,1.21313788
1.3832,1.534612714
1.3606,0.797391544
1.3015,0.830388909
1.2271,1.644911198
1.2172,1.707017196
1.1961,1.212754735
1.1935,1.313143126
1.1461,1.093427885
1.1217,0.537867924
1.0983,0.488678336
1.0842,0.909060887
1.084,0.908869832
1.0809,0.964053586
1.0722,0.217747211
1.0431,1.097906866
1.0012,1.098135228
0.9556,-0.949194821
0.9449,1.303769958
0.9432,1.302145994
0.9426,1.30157283
0.9418,1.104009811
0.9395,1.298611484
0.90675,1.397034593
0.9062,1.289164393
0.9045,1.233868029
0.8879,1.070411397
0.877,0.863200121
0.7775,1.054403257
0.7768,1.120825066
0.7566,0.833166552
0.7219,-0.300265621
0.712,1.126013876
0.7,-1.1888899
0.6851,0.523338732
0.6601,-3.373901293
0.6364,0.807796737
0.6262,0.726489753
0.5948,0.37445978
0.5833,0.408201141
0.5785,-1.398882269
0.449,0.941867577
0.4148,-0.75464716
0.4042,-1.167316053
0.3785,0.785066831
0.3313,0.605796945
0.3158,0.443391113
0.2705,0.064664747
0.2685,0.5547512
0.2519,0.556784469
0.21265,0.622162103
0.1962,0.584084363
0.171,-1.126196417
0.1490333,0.458518688
0.1278,0.541107189
0.127,0.540342971
0.125,0.538432425
0.123,0.536521879
0.05635,0.298417634
0.0312,0.381737318
0.0207,0.447742851
0.00805,0.279114148
-0.0251,-1.174871752
-0.0334,0.167954882
-0.0339,0.212204245
-0.0398,0.345221835
-0.0597,-0.367056598
-0.05985,0.008506911
-0.0613,-2.774897635
-0.067,0.265566009
-0.0778,-0.066785339
-0.0791,-0.636060094
-0.1138,-2.825049467
-0.1194,-0.674557596
-0.1198,0.085419295
-0.1435,0.044888524
-0.1667,0.411851091
-0.17385,0.181385889
-0.1855,-0.424612142
-0.1936,0.171464647
-0.2352,0.31063329
-0.2397,-0.606096238
-0.2432,-0.994091894
-0.2533,0.445414649
-0.2631,-0.601613426
-0.298,-2.164615854
-0.3433,-0.320410321
-0.3443,-0.146930294
-0.3761,0.077635925
-0.3763,0.07744487
-0.378725,-0.085888867
-0.399,-0.123147827
-0.4012,-0.366775228
-0.40365,0.082627054
-0.4101,-2.092793957
-0.4683,-0.158039346
-0.47415,0.006334907
-0.4962,-0.175746063
-0.5281,-0.237528171
-0.5289,-0.53796329
-0.5312,-0.325470818
-0.5516,-0.331540287
-0.554,-0.597722242
-0.5546,-0.598295406
-0.5546,-0.285206406
-0.5605,-0.340042216
-0.5822,0.028353259
-0.59,-0.26535067
-0.6047,-0.350956383
-0.61645,-0.460580241
-0.638,-0.338039974
-0.6585,-0.299477971
-0.678,-0.000544094
-0.67965,-0.002120294
-0.68975,-0.499292852
-0.7387,-0.505799165
-0.8018,-0.297714891
-0.8399,-1.130251393
-0.9291,-1.743240344
-0.9487,-0.679570295
-0.959,-0.671518807
-0.9906,-0.943231234
-1.0048,-0.67054331
-1.0472,-1.135953386
-1.0545,-0.650929878
-1.1079,-0.921103757
-1.1714,-0.695510792
-1.1826,-1.10875285
-1.194,-1.298550962
-1.2428,-1.957928184
-1.2483,-0.992606286
-1.27005,-1.013383474
-1.2729,-0.971379002
-1.27545,-1.018541948
-1.2761,-1.139925775
-1.2874,-1.21333816
-1.2881,-1.178225251
-1.3338,-0.850647127
-1.4373,-1.173152883
-1.4792,-1.213178822
-1.53315,-1.3094428
-1.5409,-1.182665166
-1.554,-1.060998242
-1.6353,-1.232588637
-1.6462,-1.605289813
-1.6505,-1.376817087
-1.6886,-1.493721588
-1.6987,-1.208171645
-1.7506,-1.517166914
-1.7787,-1.409829085
-1.8228,-1.630864624
-1.8268,-1.679412716
-1.8311,-1.69693849
-1.8449,-1.696703158
-1.8449,-1.155506458
-1.8572,-1.574272016
-1.9,-3.9856887
-1.9056,-1.575780229
-1.9249,-1.594216998
-1.9315,-1.6452488
-1.9544,-1.711851551
-2.0219,-2.916870979
-2.0943,-1.416115044
-2.0945,-1.416306099
-2.10385,-1.921707601
-2.17505,-1.877905539
-2.2391,-2.279015974
-2.2566,-2.067625552
-2.3212,-2.992567288
-2.3443,-2.084312494
-2.3455,-1.924441622
-2.4745,-2.253416039
-2.5122,-1.909250331
-2.5699,-2.255095083
-2.5773,-2.830197003
-2.6822,-4.084361741
-2.7208,-2.443972778
-2.7587,-2.614358625
-2.8,-3.6467508
-2.843,-2.600961439
-3.0651,-2.772873272
-3.1783,-3.015191176
-3.2631,-3.064889426
-3.2804,-3.443704349
-3.3686,-2.754182328
-3.4904,-3.282022979
-3.5348,-4.384467
-3.9588,-4.454050252
-4.6324,-4.001710645
-4.6978,-4.685890799
-4.746,-5.273131658
-4.7652,-4.3969329
-4.8562,-5.141349643
