rowID,Mol ID,SMILES,Atom ID,Aromatic,Strained,C_Mulliken Charge,AtomDegree,C_Effective Atom Polarizability,C_Partial Pi Charge ,C_Pi Electronegativity,C_SigmaElectonegativity,Hybridization,H_mulliken_charge,H_Effective Atom Polarizability,H_sigmaElectroNegativityDescriptor,NWChem,Avg_NWChem,BondLength,Exp1JCH,SigmaDeltaTheta,SigmaAbsDelthaTheta,Omega,MaxDeltaTheta
1,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a7,FALSE,TRUE,6.20195,2,6.642,0,0,7.611835616,SP3,0.89433,4.0465,7.342112759,132.596,132.596,1.093074467,132.7,12.19033693,44.02902105,121.4544938,28.10967899
2,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a8,FALSE,TRUE,6.20195,2,6.642,0,0,7.611835616,SP3,0.88821,4.0465,7.342112759,144.8073,144.8073,1.091098897,144.1,20.4268615,35.79249648,127.4047448,28.10967899
3,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a9,FALSE,TRUE,6.09739,3,7.327,0,0,7.780462193,SP3,0.89297,4.389,7.383541955,153.5552,153.5552,1.088599898,155,42.39415161,42.39415161,137.1549086,23.91933287
4,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a8,FALSE,TRUE,6.10157,3,6.94,0,0,7.837400545,SP3,0.89159,4.1955,7.386983846,168.3061,168.3061,1.082338244,168.8,54.69755332,54.69755332,124.9892777,52.99433913
5,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a12,FALSE,TRUE,6.10924,3,6.787,0,0,7.760344158,SP3,0.89033,4.119,7.36616056,206.3418,206.4379,1.07979257,205.2,115.3729811,115.3729811,145.0742355,47.71180619
6,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a7,FALSE,TRUE,6.10911,3,6.787,0,0,7.760344158,SP3,0.8904,4.119,7.36616056,206.534,206.4379,1.079750795,205.2,115.348608,115.348608,145.1939543,47.70385469
7,136_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C2([H])([H]),11,FALSE,TRUE,6.26279,2,6.94725,0,0,7.962751845,SP3,0.88392,4.199125,7.39489816,170.0462,170.06625,1.089535732,170,36.27214165,76.19249354,123.3589686,56.23231759
8,136_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C2([H])([H]),12,FALSE,TRUE,6.26279,2,6.94725,0,0,7.962751845,SP3,0.88389,4.199125,7.39489816,170.0863,170.06625,1.089531931,170,36.28085228,76.18378291,123.3640479,56.23231759
9,137_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C2([H])([H]),13,FALSE,TRUE,6.25138,2,7.1209375,0,0,7.76597117,SP3,0.89079,4.28596875,7.366871865,137.3276,137.33695,1.092350426,138,11.74176859,34.34489414,125.5978291,23.04333137
10,137_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C2([H])([H]),12,FALSE,TRUE,6.25138,2,7.1209375,0,0,7.76597117,SP3,0.89078,4.28596875,7.366871865,137.3463,137.33695,1.092336193,138,11.74898043,34.3376823,125.6031988,23.04333137
11,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a19,FALSE,TRUE,6.25895,2,6.5295,0,0,7.555804416,SP3,0.90628,3.99025,7.337486155,157.1217,158.54945,1.084600835,158,31.1279101,67.14225948,122.4370532,49.13508479
12,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a16,FALSE,TRUE,6.08445,3,7.42425,0,0,7.637830362,SP3,0.88478,4.437625,7.357526537,158.4431,159.1736,1.085497129,160,26.68925139,72.14079121,119.7143902,49.4150213
13,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a17,FALSE,TRUE,6.08964,3,7.42425,0,0,7.637830362,SP3,0.88368,4.437625,7.357526537,159.9041,159.1736,1.084493946,160,28.48879639,71.23099143,119.748841,49.85989391
14,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a18,FALSE,TRUE,6.25895,2,6.5295,0,0,7.555804416,SP3,0.88159,3.99025,7.337486155,159.9772,158.54945,1.083498249,158,32.813981,65.45618857,123.4661724,49.13508479
15,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a9,FALSE,TRUE,6.20837,2,5.90075,0,0,7.530418288,SP3,0.89758,3.675875,7.335954519,135.0929,135.2793,1.093600036,140,13.91107889,26.23020345,128.6787005,20.07064117
16,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a7,FALSE,TRUE,6.20743,2,5.90075,0,0,7.530418288,SP3,0.89761,3.675875,7.335954519,135.1703,135.2793,1.093609046,140,14.1179413,25.99428366,128.8445079,20.05611248
17,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a6,FALSE,TRUE,6.20743,2,5.90075,0,0,7.530418288,SP3,0.89782,3.675875,7.335954519,135.3687,135.2793,1.090469444,140,6.057349759,34.0548752,122.4717187,20.05611248
18,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a8,FALSE,TRUE,6.20837,2,5.90075,0,0,7.530418288,SP3,0.89762,3.675875,7.335954519,135.4853,135.2793,1.090424512,140,6.270184597,33.87109774,122.637456,20.07064117
19,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a13,FALSE,TRUE,6.22105,2,5.804,0,0,7.55580554,SP3,0.8853,3.6275,7.337486155,153.4531,158.75145,1.084080731,160,26.45425199,69.71837078,119.8415469,48.08631138
20,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a12,FALSE,TRUE,6.22105,2,5.804,0,0,7.55580554,SP3,0.90183,3.6275,7.337486155,164.0498,158.75145,1.087251611,160,36.35742007,59.81520269,125.9066523,48.08631138
21,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a10,FALSE,TRUE,6.10273,3,6.336,0,0,7.637894788,SP3,0.88998,3.8935,7.357526905,178.0699,178.10585,1.082485621,176,68.1751485,69.90960624,131.3825023,50.16483442
22,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a11,FALSE,TRUE,6.10265,3,6.336,0,0,7.637894788,SP3,0.89003,3.8935,7.357526905,178.1418,178.10585,1.082469395,176,68.26228122,69.80728231,131.4203415,50.1588542
23,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a15,FALSE,TRUE,6.25249,2,6.16675,0,0,7.555804416,SP3,0.88034,3.808875,7.337486155,157.965,158.88635,1.083252761,161,29.54105607,68.98455145,121.6391698,49.26280376
24,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a16,FALSE,TRUE,6.25249,2,6.16675,0,0,7.555804416,SP3,0.90404,3.808875,7.337486155,159.8077,158.88635,1.084381295,161,34.22546009,64.30014743,124.4873821,49.26280376
25,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a13,FALSE,TRUE,6.09319,3,7.0615,0,0,7.637830922,SP3,0.88611,4.25625,7.357526537,166.6514,166.6777,1.083618999,166,42.70495633,59.28722887,124.4625047,49.57895067
26,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a14,FALSE,TRUE,6.09313,3,7.0615,0,0,7.637830922,SP3,0.8861,4.25625,7.357526537,166.704,166.6777,1.083620971,166,42.76014277,59.2052507,124.5074265,49.56824557
27,17_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C12([H]))),a6,FALSE,TRUE,6.19792,2,5.0785,0,0,7.555933592,SP3,0.89522,3.26475,7.337486894,151.6498,151.6498,1.08609823,153,30.15641722,69.49261732,121.3673713,49.82451727
28,17_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C12([H]))),a5,FALSE,TRUE,6.19792,2,5.0785,0,0,7.555933592,SP3,0.89825,3.26475,7.337486894,170.7744,170.7744,1.090458816,169,35.07308712,64.57594743,124.3437292,49.82451727
29,17_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C12([H]))),a7,FALSE,TRUE,6.12059,3,5.6105,0,0,7.640089676,SP3,0.88801,3.53075,7.357570073,208.7707,208.7707,1.077071949,205,109.4050567,109.4050567,137.4112275,49.29274136
30,20_NWChem_1JCH_mulliken,[H]C2([H])(C1([H])(C3([H])(C1([H])C4([H])(C2([H])C34([H]))))),a8,FALSE,TRUE,6.10954,3,7.30325,0,0,7.672432902,SP3,0.88557,4.377125,7.359239177,166.8517,166.8517,1.082664416,166,47.36785099,51.65415659,124.038572,49.51100379
31,20_NWChem_1JCH_mulliken,[H]C2([H])(C1([H])(C3([H])(C1([H])C4([H])(C2([H])C34([H]))))),a9,FALSE,TRUE,6.12008,3,7.2065,0,0,7.697921315,SP3,0.88985,4.32875,7.360777876,184.8511,184.8511,1.080257262,185,74.00087051,74.00087051,134.0932931,49.44949811
32,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a11,FALSE,TRUE,6.20945,2,5.804,0,0,7.551792927,SP3,0.89782,3.6275,7.337401928,144.1699,144.1728667,1.092360761,144,20.86063203,49.47708036,124.2085181,35.1688562
33,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a8,FALSE,TRUE,6.20945,2,5.804,0,0,7.551792927,SP3,0.89782,3.6275,7.337401928,144.1701,144.1728667,1.092360758,144,20.86063246,49.4770799,124.2085185,35.16885618
34,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a12,FALSE,TRUE,6.20945,2,5.804,0,0,7.551792927,SP3,0.89782,3.6275,7.337401928,144.1702,144.1728667,1.092360753,144,20.86063319,49.47707962,124.2085183,35.1688564
35,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a10,FALSE,TRUE,6.20945,2,5.804,0,0,7.551792927,SP3,0.89781,3.6275,7.337401928,144.1756,144.1728667,1.092342138,144,20.86423498,49.47347741,124.2109614,35.1688562
36,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a7,FALSE,TRUE,6.20945,2,5.804,0,0,7.551792927,SP3,0.89781,3.6275,7.337401928,144.1757,144.1728667,1.092342141,144,20.86423442,49.47347794,124.2109611,35.16885618
37,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a13,FALSE,TRUE,6.20945,2,5.804,0,0,7.551792927,SP3,0.89781,3.6275,7.337401928,144.1757,144.1728667,1.09234214,144,20.86423477,49.47347804,124.2109607,35.1688564
38,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a6,FALSE,TRUE,6.0935,3,6.43275,0,0,7.616471984,SP3,0.89887,3.941875,7.356075441,163.2186,163.2186,1.09029215,164,66.50270867,66.50270867,146.5788994,22.16756969
39,22_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C([H])(C1([H])([H]))C23([H])))),a9,FALSE,TRUE,6.06849,3,7.134,0,0,7.670039413,SP3,0.89336,4.2925,7.359194836,153.3308,153.3308,1.087862253,156,29.01730184,70.9332338,119.4457411,49.97526782
40,22_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C([H])(C1([H])([H]))C23([H])))),a8,FALSE,TRUE,6.16186,3,7.03725,0,0,7.695578371,SP3,0.88254,4.244125,7.360733584,203.8092,204.30925,1.07836636,205,109.2409353,109.2409353,137.4757303,48.93034226
41,22_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C([H])(C1([H])([H]))C23([H])))),a15,FALSE,TRUE,6.18312,3,7.03725,0,0,7.695578371,SP3,0.88444,4.244125,7.360733584,204.8093,204.30925,1.077987857,205,111.1400242,111.1400242,137.5174051,49.50438992
42,23_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C1([H])C23([H])))),a7,FALSE,TRUE,6.08439,3,6.77125,0,0,7.670103377,SP3,0.89053,4.111125,7.359195205,164.5663,164.5663,1.084082571,163,49.25523452,52.58695839,124.7715626,50.92109646
43,23_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C1([H])C23([H])))),a8,FALSE,TRUE,6.15228,3,6.6745,0,0,7.695579504,SP3,0.88732,4.06275,7.360733584,215.5743,215.5743,1.076107595,212,115.4558907,115.4558907,143.0826866,48.76350682
44,24_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C3([H])(C1([H])C23([H])))),a7,FALSE,TRUE,6.13268,3,5.949,0,0,7.695709614,SP3,0.89393,3.7,7.360734328,225.7716,225.77865,1.074352166,212,125.3969489,125.3969489,149.9220824,47.91594533
45,24_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C3([H])(C1([H])C23([H])))),a11,FALSE,TRUE,6.13268,3,5.949,0,0,7.695709614,SP3,0.89393,3.7,7.360734328,225.7857,225.77865,1.074356598,212,125.401185,125.401185,149.9255438,47.91740221
